serial number,Company,The location of the recycling service outlet,The name of the recycling service location,address,Short_Company_Name,City
3314,"SAIC Volkswagen Automotive Co., Ltd","Xiamen City, Fujian Province","Fujian Xiamen Shenmin Automobile Co., Ltd","No. 807-809, Jiahe Road, Huli District, Xiamen City, Fujian Province",SAIC Volkswagen Automotive,Xiamen
3315,"SAIC Volkswagen Automotive Co., Ltd","Xiamen City, Fujian Province","Xiamen International Trade Fushen Automobile Trading Co., Ltd","No. 1191, Nanhai Third Road, Haicang Street, Siming District, Xiamen City, Fujian Province",SAIC Volkswagen Automotive,Xiamen
3316,"SAIC Volkswagen Automotive Co., Ltd","Xiamen City, Fujian Province","Xiamen Yingzhong Fuhai Automobile Co., Ltd","No. 1968-bis, Jinshang Road, Huli District, Xiamen City, Fujian Province",SAIC Volkswagen Automotive,Xiamen
3317,"SAIC Volkswagen Automotive Co., Ltd","Putian City, Fujian Province","Putian Rongtai Automobile Service Co., Ltd","Longshan Village, West Tianwei Town, Licheng District, Putian City, Fujian Province",SAIC Volkswagen Automotive,Putian
3318,"SAIC Volkswagen Automotive Co., Ltd","Putian City, Fujian Province","Putian Yuanfa Industrial Co., Ltd","Diagonally opposite the gate of Hualin Industrial Zone, Lihua East Avenue, Chengxiang District, Putian City, Fujian Province",SAIC Volkswagen Automotive,Putian
3319,"SAIC Volkswagen Automotive Co., Ltd","Quanzhou City, Fujian Province","Quanzhou Yuanze Automobile Co., Ltd","No. 88, Wanhong Road, Luojiang District, Quanzhou City, Fujian Province",SAIC Volkswagen Automotive,Quanzhou
3320,"SAIC Volkswagen Automotive Co., Ltd","Quanzhou City, Fujian Province","Fujian Shiteng Automobile Sales and Service Co., Ltd","No. 760, South Ring Road, Licheng District, Quanzhou City, Fujian Province",SAIC Volkswagen Automotive,Quanzhou
3321,"SAIC Volkswagen Automotive Co., Ltd","Quanzhou City, Fujian Province","Quanzhou Yingzhong Fuhai Automobile Sales Co., Ltd","No. 1, District 1, Houyang Community, Xintang Street, Jinjiang City, Quanzhou City, Fujian Province",SAIC Volkswagen Automotive,Quanzhou
3322,"SAIC Volkswagen Automotive Co., Ltd","Quanzhou City, Fujian Province","Quanzhou Shiteng Yihai Automobile Sales and Service Co., Ltd","Won the bid plot A-1B in the West Second Ring Road of Anxi County, Fujian Province",SAIC Volkswagen Automotive,Quanzhou
3323,"SAIC Volkswagen Automotive Co., Ltd","Quanzhou City, Fujian Province","Nanan Yuanze Automobile Co., Ltd","In front of the railway station in front of the railway station in Nan'an City, Quanzhou City, Fujian Province",SAIC Volkswagen Automotive,Quanzhou
3324,"SAIC Volkswagen Automotive Co., Ltd","Quanzhou City, Fujian Province","Quanzhou Yuamai Automobile Co., Ltd","No. 1490, Wuliqiao Avenue, Shuitou Town, Nan'an City, Quanzhou City, Fujian Province",SAIC Volkswagen Automotive,Quanzhou
3325,"SAIC Volkswagen Automotive Co., Ltd","Zhangzhou City, Fujian Province","Zhangzhou Zhihe Automobile Co., Ltd","Longwen North Road 5 Bus Terminal, Longwen District, Zhangzhou City, Fujian Province diagonally opposite",SAIC Volkswagen Automotive,Zhangzhou
3326,"SAIC Volkswagen Automotive Co., Ltd","Nanchang City, Jiangxi Province","Jiangxi Guangdian Baosheng Automobile Sales and Service Co., Ltd","Plant No. 2 in the private science and technology park of Qingshan Lake District, Nanchang City, Jiangxi Province",SAIC Volkswagen Automotive,Nanchang
3327,"SAIC Volkswagen Automotive Co., Ltd","Nanchang City, Jiangxi Province","Jiangxi Tongda Automobile Sales and Service Co., Ltd","No. 399, Beijing East Road, Qingshan Lake District, Nanchang City, Jiangxi Province",SAIC Volkswagen Automotive,Nanchang
3328,"SAIC Volkswagen Automotive Co., Ltd","Nanchang City, Jiangxi Province","Nanchang Zhitong Automotive Technology Service Co., Ltd","No. 688, Hongdu North Avenue, Donghu District, Nanchang City, Jiangxi Province",SAIC Volkswagen Automotive,Nanchang
3329,"SAIC Volkswagen Automotive Co., Ltd","Nanchang City, Jiangxi Province","Jiangxi Peace Automobile Sales and Service Co., Ltd","No. 2, Fenghuangzhong Avenue, Honggutan New District, Nanchang City, Jiangxi Province",SAIC Volkswagen Automotive,Nanchang
3330,"SAIC Volkswagen Automotive Co., Ltd","Nanchang City, Jiangxi Province","Nanchang Hengxin Zhongcheng Automobile Sales and Service Co., Ltd","No. 4288, Gaoxin Avenue, Qingshan Lake District, Nanchang City, Jiangxi Province",SAIC Volkswagen Automotive,Nanchang
3331,"SAIC Volkswagen Automotive Co., Ltd","Nanchang City, Jiangxi Province","Jiangxi Yuntong Zhongxiang Automobile Service Co., Ltd","No. 2288, Yingbin Middle Avenue, Xiaolan Economic and Technological Development Zone, Nanchang City, Jiangxi Province",SAIC Volkswagen Automotive,Nanchang
3332,"SAIC Volkswagen Automotive Co., Ltd","Jingdezhen City, Jiangxi Province","Jingdezhen Guangdian Industrial Co., Ltd","No. 3, Jinling North Avenue, Fuliang County, Jingdezhen City, Jiangxi Province",SAIC Volkswagen Automotive,Jingdezhen
3333,"SAIC Volkswagen Automotive Co., Ltd","Pingxiang City, Jiangxi Province","Pingxiang Changyun Automobile Sales and Maintenance Co., Ltd","No. 76, Anyuan West Avenue, Pingxiang Economic Development Zone, Jiangxi Province",SAIC Volkswagen Automotive,Pingxiang
3334,"SAIC Volkswagen Automotive Co., Ltd","Jiujiang City, Jiangxi Province","Jiujiang Dezhong Automobile Sales and Service Co., Ltd","West of Jiuwei Avenue Vehicle Management Office, Lushan District, Jiujiang City, Jiangxi Province",SAIC Volkswagen Automotive,Jiujiang
3335,"SAIC Volkswagen Automotive Co., Ltd","Jiujiang City, Jiangxi Province","Jiujiang Hengyun Automobile Trading Co., Ltd","International Automobile City, No. 131, Jiurui Avenue, Jiujiang Development Zone, Jiangxi Province",SAIC Volkswagen Automotive,Jiujiang
3336,"SAIC Volkswagen Automotive Co., Ltd","Xinyu City, Jiangxi Province","Xinyu Guangdian Automobile Sales and Service Co., Ltd","No. 2129, Yudong Avenue, Economic Development Zone, Xinyu City, Jiangxi Province",SAIC Volkswagen Automotive,Xinyu
3337,"SAIC Volkswagen Automotive Co., Ltd","Ganzhou City, Jiangxi Province","Ganzhou Tongyi Automobile Sales and Service Co., Ltd","North side of Jinling West Road, Zhanggong District Development Zone, Ganzhou City, Jiangxi Province",SAIC Volkswagen Automotive,Ganzhou
3338,"SAIC Volkswagen Automotive Co., Ltd","Ganzhou City, Jiangxi Province","Ganzhou New Century Automobile Sales and Service Co., Ltd","The north side of Tianlongshan Road, Shahe Industrial Park, Zhanggong District, Ganzhou City, Jiangxi Province, and the west side of Qinglongyan Street",SAIC Volkswagen Automotive,Ganzhou
3339,"SAIC Volkswagen Automotive Co., Ltd","Ganzhou City, Jiangxi Province","Ganzhou Benli Automobile Sales and Service Co., Ltd","North side of National Road 323, Hongjin Village, Hongjin Logistics Center, Ganzhou City, Jiangxi Province",SAIC Volkswagen Automotive,Ganzhou
3340,"SAIC Volkswagen Automotive Co., Ltd","Ganzhou City, Jiangxi Province","Ganzhou Junpeng Automobile Sales and Service Co., Ltd","Dabu Auto City on the south side of National Road 323 in Ruijin Economic and Technological Development Zone, Jiangxi Province",SAIC Volkswagen Automotive,Ganzhou
3341,"SAIC Volkswagen Automotive Co., Ltd","Ji'an City, Jiangxi Province","Ji'an Wentong Automobile Sales Co., Ltd","No. 17, Qingyuan District Industrial Park, Ji'an City, Jiangxi Province",SAIC Volkswagen Automotive,Ji'an
3342,"SAIC Volkswagen Automotive Co., Ltd","Ji'an City, Jiangxi Province","Ji'an Yufeng Automobile Sales and Service Co., Ltd","Next to the junction village of Changyong Town, Jizhou District, Ji'an City, Jiangxi Province",SAIC Volkswagen Automotive,Ji'an
3343,"SAIC Volkswagen Automotive Co., Ltd","Yichun City, Jiangxi Province","Yichun Xinyi Automobile Sales and Service Co., Ltd","Mawangtang Economic Development Zone, Yuanzhou District, Yichun City, Jiangxi Province",SAIC Volkswagen Automotive,Yichun (Jiangxi)
3344,"SAIC Volkswagen Automotive Co., Ltd","Yichun City, Jiangxi Province","Fengcheng Kingdom Automobile Sales and Service Co., Ltd","Yingbin Avenue, Fengcheng City, Yichun City, Jiangxi Province, east of Lin'an Logistics",SAIC Volkswagen Automotive,Yichun (Jiangxi)
3345,"SAIC Volkswagen Automotive Co., Ltd","Yichun City, Jiangxi Province","Yichun Hexin Automobile Sales and Service Co., Ltd","Opposite the new 320 National Road Shuangmu Bridge in Gao'an City, Yichun City, Jiangxi Province",SAIC Volkswagen Automotive,Yichun (Jiangxi)
3346,"SAIC Volkswagen Automotive Co., Ltd","Fuzhou City, Jiangxi Province","Fuzhou Jinxin Automobile Sales and Service Co., Ltd","The middle section of Linchuan Avenue, Linchuan District, Fuzhou City, Jiangxi Province",SAIC Volkswagen Automotive,Fuzhou (Jiangxi)
3347,"SAIC Volkswagen Automotive Co., Ltd","Fuzhou City, Jiangxi Province","Fuzhou Huiding Automobile Sales and Service Co., Ltd","Middle section of Guangyin Avenue, Fubei Industrial Park, Linchuan District, Fuzhou City, Jiangxi Province",SAIC Volkswagen Automotive,Fuzhou (Jiangxi)
3348,"SAIC Volkswagen Automotive Co., Ltd","Shangrao City, Jiangxi Province","Jiangxi Zhongren Automobile Trading Co., Ltd","Shangrao City, Jiangxi Province, Shangrao County, Xuri Street, Office Sanqing Shanxi Avenue No. 58-7, Building 2, 1-3...",SAIC Volkswagen Automotive,Shangrao
3349,"SAIC Volkswagen Automotive Co., Ltd","Shangrao City, Jiangxi Province","Shangrao Huaze Automobile Co., Ltd","North side of Yingbin Avenue, Xiaxi Street, Guangfeng District, Shangrao City, Jiangxi Province (Liuwu Plot)",SAIC Volkswagen Automotive,Shangrao
3350,"SAIC Volkswagen Automotive Co., Ltd","Shangrao City, Jiangxi Province","Jiangxi Dilong Haozhong Automobile Co., Ltd","No. 158, Hucheng Avenue, Poyang County, Shangrao City, Jiangxi Province",SAIC Volkswagen Automotive,Shangrao
3351,"SAIC Volkswagen Automotive Co., Ltd","Jinan City, Shandong Province","Shandong Ginza Tianyi Automobile Co., Ltd","No. 2289, Jingshi East Road, Licheng District, Jinan City, Shandong Province",SAIC Volkswagen Automotive,Jinan
3352,"SAIC Volkswagen Automotive Co., Ltd","Jinan City, Shandong Province","Shandong Hongfa Shenlu Automobile Sales and Service Co., Ltd","The northwest of Dajiangou West Village, Shizhong District, Jinan City, Shandong Province",SAIC Volkswagen Automotive,Jinan
3353,"SAIC Volkswagen Automotive Co., Ltd","Jinan City, Shandong Province","Jinan Huatong Junde Automobile Sales Co., Ltd","No. 9, Xinsha North Road, Huaiyin District, Jinan City, Shandong Province",SAIC Volkswagen Automotive,Jinan
3354,"SAIC Volkswagen Automotive Co., Ltd","Jinan City, Shandong Province","Shandong Runhua Tianzhong Automobile Sales and Service Co., Ltd","Jinan City, Shandong Province, Huaiyin District, Jingshi West Road Runhua Automobile Park",SAIC Volkswagen Automotive,Jinan
3355,"SAIC Volkswagen Automotive Co., Ltd","Jinan City, Shandong Province","Shandong Kaiwen Automobile Sales and Service Co., Ltd","No. 421, Shuangshan Chuangye Road, Zhangqiu City, Jinan City, Shandong Province",SAIC Volkswagen Automotive,Jinan
3356,"SAIC Volkswagen Automotive Co., Ltd","Qingdao City, Shandong Province","Qingdao Shenglida Automobile Sales and Service Co., Ltd","No. 167, Chongqing South Road, Sifang District, Qingdao City, Shandong Province",SAIC Volkswagen Automotive,Qingdao
3357,"SAIC Volkswagen Automotive Co., Ltd","Qingdao City, Shandong Province","Qingdao Junchi Excellent Automobile Sales Co., Ltd","No. 372, Chongqing Middle Road, Licang District, Qingdao City, Shandong Province",SAIC Volkswagen Automotive,Qingdao
3358,"SAIC Volkswagen Automotive Co., Ltd","Qingdao City, Shandong Province","Qingdao Sunchi Automobile Sales Co., Ltd","No. 208, Tieshan West Road, Jiaonan City, Qingdao City, Shandong Province",SAIC Volkswagen Automotive,Qingdao
3359,"SAIC Volkswagen Automotive Co., Ltd","Qingdao City, Shandong Province","Qingdao Ruiyuan Hongye Automobile Sales and Service Co., Ltd","No. 207, Qiangang Road, Huangdao District, Qingdao City, Shandong Province",SAIC Volkswagen Automotive,Qingdao
3360,"SAIC Volkswagen Automotive Co., Ltd","Qingdao City, Shandong Province","Qingdao Tianbang Automobile Sales and Service Co., Ltd","No. 20, Haier Road, Laoshan District, Qingdao City, Shandong Province",SAIC Volkswagen Automotive,Qingdao
3361,"SAIC Volkswagen Automotive Co., Ltd","Qingdao City, Shandong Province","Qingdao Runzhong Automobile Sales and Service Co., Ltd","East of National Road 308, Zhaogezhuang <>, Liuting Street, Chengyang District, Qingdao City, Shandong Province",SAIC Volkswagen Automotive,Qingdao
3362,"SAIC Volkswagen Automotive Co., Ltd","Qingdao City, Shandong Province","Qingdao Tianfu Automobile Industry Co., Ltd","No. 88, Haier Avenue, Jiaozhou City, Qingdao City, Shandong Province",SAIC Volkswagen Automotive,Qingdao
3363,"SAIC Volkswagen Automotive Co., Ltd","Qingdao City, Shandong Province","Qingdao Ruiqing Automobile Sales and Service Co., Ltd","Huananhuanxiu Industrial Park, Jimo City, Qingdao City, Shandong Province",SAIC Volkswagen Automotive,Qingdao
3364,"SAIC Volkswagen Automotive Co., Ltd","Qingdao City, Shandong Province",Qingdao Pingdu Liyuan Automobile Sales and Service Center,"No. 637, West End of Qingdao Road, Pingdu City, Qingdao City, Shandong Province",SAIC Volkswagen Automotive,Qingdao
3365,"SAIC Volkswagen Automotive Co., Ltd","Qingdao City, Shandong Province","Qingdao Shenlongchao Automobile Sales Co., Ltd","North end of Qingdao Road, Shuiji Street Office, Laixi City, Qingdao, Shandong Province (Industrial and Trade Development Zone)",SAIC Volkswagen Automotive,Qingdao
3366,"SAIC Volkswagen Automotive Co., Ltd","Zibo City, Shandong Province","Zibo Yinghua Automobile Sales and Service Co., Ltd","No. 63, Shanquan Road, Zhangdian District, Zibo City, Shandong Province",SAIC Volkswagen Automotive,Zibo
3367,"SAIC Volkswagen Automotive Co., Ltd","Zibo City, Shandong Province","Zibo Century Blue Sky Automobile Sales and Service Co., Ltd","No. 176-2, Zhongxin Road, Zhangdian District, Zibo City, Shandong Province",SAIC Volkswagen Automotive,Zibo
3368,"SAIC Volkswagen Automotive Co., Ltd","Zibo City, Shandong Province","Zibo Huiyuan Automobile Sales and Service Co., Ltd","Zibo City, Shandong Province, Zibo City, Linzi District Renmin Road south side of Xigao Village North",SAIC Volkswagen Automotive,Zibo
3369,"SAIC Volkswagen Automotive Co., Ltd","Zibo City, Shandong Province","Zibo Yichi Automobile Sales and Service Co., Ltd","No. 8898, Zhoulong Road, Zhoucun District, Zibo City, Shandong Province",SAIC Volkswagen Automotive,Zibo
3370,"SAIC Volkswagen Automotive Co., Ltd","Zibo City, Shandong Province","Zibo New Century Automobile Sales and Service Co., Ltd","No. 1877, Tianqi Auto Park, No. 4, Liuquan North Road, Huantai County, Zibo City, Shandong Province",SAIC Volkswagen Automotive,Zibo
3371,"SAIC Volkswagen Automotive Co., Ltd","Zaozhuang City, Shandong Province","Zaozhuang Runzhong Automobile Sales and Service Co., Ltd","The north side of Zhangfan Street, Zhangfan Street, Zaozhuang City, Shandong Province, No. 4469, the west side of Fuxing Road",SAIC Volkswagen Automotive,Zaozhuang
3372,"SAIC Volkswagen Automotive Co., Ltd","Dongying City, Shandong Province","Dongying Guangfa Automobile Sales and Service Co., Ltd","No. 79, East Eighth Road, Dongying District, Dongying City, Shandong Province",SAIC Volkswagen Automotive,Dongying
3373,"SAIC Volkswagen Automotive Co., Ltd","Dongying City, Shandong Province","Dongying Shida Automobile Sales and Service Co., Ltd","No. 271, North <>nd Road, Dongying District, Dongying City, Shandong Province",SAIC Volkswagen Automotive,Dongying
3374,"SAIC Volkswagen Automotive Co., Ltd","Dongying City, Shandong Province","Dongying Ruidong Automobile Sales Co., Ltd","North of the original Guangma Road, Guangrao County Economic Development Zone, Dongying City, Shandong Province",SAIC Volkswagen Automotive,Dongying
3375,"SAIC Volkswagen Automotive Co., Ltd","Yantai City, Shandong Province","Yantai Jinling Automobile Sales and Service Co., Ltd","No. 44, Chu Road, Zhifu District, Yantai City, Shandong Province",SAIC Volkswagen Automotive,Yantai
3376,"SAIC Volkswagen Automotive Co., Ltd","Yantai City, Shandong Province","Yantai Pearl Automobile Sales and Service Co., Ltd","No. 1888, Lushan Road, Yantai Development Zone, Shandong Province",SAIC Volkswagen Automotive,Yantai
3377,"SAIC Volkswagen Automotive Co., Ltd","Yantai City, Shandong Province","Yantai Huaxin Automobile Sales and Service Co., Ltd","No. 188, Airport Road, Zhifu District, Yantai City, Shandong Province",SAIC Volkswagen Automotive,Yantai
3378,"SAIC Volkswagen Automotive Co., Ltd","Yantai City, Shandong Province","Yantai Ji'an Automobile Sales and Service Co., Ltd","No. 756, Beiguan Street, Muping District, Yantai City, Shandong Province",SAIC Volkswagen Automotive,Yantai
3379,"SAIC Volkswagen Automotive Co., Ltd","Yantai City, Shandong Province","Yantai Longrun Automobile Sales and Service Co., Ltd","Longkou City, Yantai City, Shandong Province, 264 Provincial Road North, Fushou Avenue West",SAIC Volkswagen Automotive,Yantai
3380,"SAIC Volkswagen Automotive Co., Ltd","Yantai City, Shandong Province","Laiyang Luhua Automobile Sales Co., Ltd","No. 324, Wulong South Road, Laiyang City, Yantai City, Shandong Province",SAIC Volkswagen Automotive,Yantai
3381,"SAIC Volkswagen Automotive Co., Ltd","Yantai City, Shandong Province","Yantai Jinling Longsheng Automobile Sales and Service Co., Ltd","No. 1098, Chenggang South Road, Laizhou City, Yantai City, Shandong Province",SAIC Volkswagen Automotive,Yantai
3382,"SAIC Volkswagen Automotive Co., Ltd","Yantai City, Shandong Province","Yantai Chengyuan Automobile Sales and Service Co., Ltd","No. 77, Linglong Road, Zhaoyuan City, Yantai City, Shandong Province",SAIC Volkswagen Automotive,Yantai
3383,"SAIC Volkswagen Automotive Co., Ltd","Yantai City, Shandong Province","Haiyang Haijia Automobile Sales and Service Co., Ltd","No. 188, Haitian Road, Haiyang City, Yantai City, Shandong Province",SAIC Volkswagen Automotive,Yantai
3384,"SAIC Volkswagen Automotive Co., Ltd","Weifang City, Shandong Province","Weifang Guoxin Automobile Sales Co., Ltd","No. 2618, Hailong Road, Hanting District, Weifang City, Shandong Province",SAIC Volkswagen Automotive,Weifang
3385,"SAIC Volkswagen Automotive Co., Ltd","Weifang City, Shandong Province","Weifang Guangbo Automobile Sales and Service Co., Ltd","No. 369, Weizhou Road, Kuiwen District, Weifang City, Shandong Province",SAIC Volkswagen Automotive,Weifang
3386,"SAIC Volkswagen Automotive Co., Ltd","Weifang City, Shandong Province","Linqu Guangfa Automobile Sales and Service Co., Ltd","West of Donghong Road, Dongcheng Street, Linqu County, Weifang City, Shandong Province, north of Zhusi Road",SAIC Volkswagen Automotive,Weifang
3387,"SAIC Volkswagen Automotive Co., Ltd","Weifang City, Shandong Province","Qingzhou Chenxing Automobile Sales and Service Co., Ltd","No. 23, Linglong Mountain North Road, Qingzhou City, 2199 Weifang City, Shandong Province",SAIC Volkswagen Automotive,Weifang
3388,"SAIC Volkswagen Automotive Co., Ltd","Weifang City, Shandong Province","Zhucheng Chengda Automobile Sales Co., Ltd","The east side of the north section of No. 46, East Outer Ring Road, Zhucheng, Weifang City, Shandong Province",SAIC Volkswagen Automotive,Weifang
3389,"SAIC Volkswagen Automotive Co., Ltd","Weifang City, Shandong Province","Shouguang Guangwei Automobile Sales and Service Co., Ltd",Shandong Province Weifang City Shouguang City Wenjia Hospital West 800 meters south of the road,SAIC Volkswagen Automotive,Weifang
3390,"SAIC Volkswagen Automotive Co., Ltd","Weifang City, Shandong Province","Changyi Guangwei Guangbo Automobile Sales and Service Co., Ltd","Intersection of Yanshan Road and Petrochemical Road, Changyi City, Shandong Province",SAIC Volkswagen Automotive,Weifang
3391,"SAIC Volkswagen Automotive Co., Ltd","Jining City, Shandong Province","Jining Jiaoyun Automobile Sales and Service Co., Ltd","No. 18, West Station Road, Shizhong District, Jining City, Shandong Province",SAIC Volkswagen Automotive,Jining
3392,"SAIC Volkswagen Automotive Co., Ltd","Jining City, Shandong Province","Jining Langwei Langheng Automobile Sales and Service Co., Ltd","East of West Outer Ring Road (105 National Highway) in Nanzhang Town, Rencheng District, Jining City, Shandong Province",SAIC Volkswagen Automotive,Jining
3393,"SAIC Volkswagen Automotive Co., Ltd","Jining City, Shandong Province","Jinxiang Yuezhong Automobile Sales and Service Co., Ltd","Jining City, Shandong Province, Jinxiang County, north of National Road 105, East Zhouqiao New Village, north of Shenke Auto City",SAIC Volkswagen Automotive,Jining
3394,"SAIC Volkswagen Automotive Co., Ltd","Jining City, Shandong Province","Qufu Shenghua Automobile Sales and Service Co., Ltd","North of National Road 327, Qufu East Development Zone, Jining City, Shandong Province",SAIC Volkswagen Automotive,Jining
3395,"SAIC Volkswagen Automotive Co., Ltd","Jining City, Shandong Province","Zou Cheng Runcheng Automobile Sales and Service Co., Ltd","No. 6369-3, Guohong Avenue, Zoucheng, Jining City, Shandong Province",SAIC Volkswagen Automotive,Jining
3396,"SAIC Volkswagen Automotive Co., Ltd","Tai'an City, Shandong Province","Taian Jinchi Automobile Sales and Service Co., Ltd","East of Changcheng Road, High-tech Zone, Tai'an City, Shandong Province (north of Huajun Auto City)",SAIC Volkswagen Automotive,Tai'an
3397,"SAIC Volkswagen Automotive Co., Ltd","Tai'an City, Shandong Province","Taian Runzhifu Automobile Sales Co., Ltd","The intersection of Taiqian Street and Keji Middle Road, Taishan District, Tai'an City, Shandong Province",SAIC Volkswagen Automotive,Tai'an
3398,"SAIC Volkswagen Automotive Co., Ltd","Tai'an City, Shandong Province","Taian North Zotye Automobile Sales and Service Co., Ltd","No. 392, Taishan Street, Daiyue District, Tai'an City, Shandong Province",SAIC Volkswagen Automotive,Tai'an
3399,"SAIC Volkswagen Automotive Co., Ltd","Tai'an City, Shandong Province","Taian Chengyuan Automobile Sales Co., Ltd","Xintai Auto City, Guomao Road, Xintai City, Tai'an City, Shandong Province",SAIC Volkswagen Automotive,Tai'an
3400,"SAIC Volkswagen Automotive Co., Ltd","Weihai City, Shandong Province","Weihai Anjijin Sunshine Automobile Sales and Service Co., Ltd","No. 3, North Golden Sunshine Auto Bocheng, Qingwei Expressway, East Zhejiang Road, Weihai Industrial New Zone, Shandong Province",SAIC Volkswagen Automotive,Weihai
3401,"SAIC Volkswagen Automotive Co., Ltd","Weihai City, Shandong Province","Weihai Xintong Dezhong Automobile Trading Co., Ltd","No. 665-3, Zhuhai Road, Jingji District, Weihai City, Shandong Province",SAIC Volkswagen Automotive,Weihai
3402,"SAIC Volkswagen Automotive Co., Ltd","Rizhao City, Shandong Province","Rizhao Qiantong Automobile Sales and Service Co., Ltd","North of Liuzhou Road, Donggang District, Rizhao City, Shandong Province, west of Nanchang Road (Kuishan Auto City)",SAIC Volkswagen Automotive,Rizhao
3403,"SAIC Volkswagen Automotive Co., Ltd","Rizhao City, Shandong Province","Rizhao Xingan Automobile Sales and Service Co., Ltd","No. 1, Haiqu East Road, Donggang District, Rizhao City, Shandong Province",SAIC Volkswagen Automotive,Rizhao
3404,"SAIC Volkswagen Automotive Co., Ltd","Rizhao City, Shandong Province","Juxian Chenyu Automobile Sales and Service Co., Ltd","No. 130, Shandong North Road, Ju County, Rizhao City, Shandong Province",SAIC Volkswagen Automotive,Rizhao
3405,"SAIC Volkswagen Automotive Co., Ltd","Jinan City, Shandong Province","Jinan Lianzhong Automobile Sales and Service Co., Ltd","South of Huihe Avenue, West of Changjiao Road, Kou Town, Laiwu District, Jinan City, Shandong Province (North of Auto Trade City...",SAIC Volkswagen Automotive,Jinan
3406,"SAIC Volkswagen Automotive Co., Ltd","Linyi City, Shandong Province","Linyi Shenghua Automobile Sales and Service Co., Ltd","On the east side of the intersection of Shuangling Road and Beijing-Shanghai Expressway in Lanshan District, Linyi City, Shandong Province, Yuantong Auto Dashi...",SAIC Volkswagen Automotive,Linyi
3407,"SAIC Volkswagen Automotive Co., Ltd","Linyi City, Shandong Province","Linyi Jinyang Automobile Sales and Service Co., Ltd","No. 207, Jiefang Road, Lanshan District, Linyi City, Shandong Province",SAIC Volkswagen Automotive,Linyi
3408,"SAIC Volkswagen Automotive Co., Ltd","Linyi City, Shandong Province","Linyi Jinlun Automobile Sales and Service Co., Ltd","2000 meters east of the Lanyan Highway District Government in Hedong District, Linyi City, Shandong Province",SAIC Volkswagen Automotive,Linyi
3409,"SAIC Volkswagen Automotive Co., Ltd","Dezhou City, Shandong Province","Dezhou Ruich Automobile Sales Co., Ltd","No. 1527, East University Road, Dezhou Development Zone, Shandong Province",SAIC Volkswagen Automotive,Dezhou
3410,"SAIC Volkswagen Automotive Co., Ltd","Dezhou City, Shandong Province","Dezhou Zhongchi Automobile Sales and Service Co., Ltd","No. 265, Dongfeng Middle Road, Decheng District, Dezhou City, Shandong Province",SAIC Volkswagen Automotive,Dezhou
3411,"SAIC Volkswagen Automotive Co., Ltd","Dezhou City, Shandong Province","Dezhou Yuda Automobile Sales and Service Co., Ltd","No. 1357, Xinhe East Road, Decheng District, Dezhou City, Shandong Province",SAIC Volkswagen Automotive,Dezhou
3412,"SAIC Volkswagen Automotive Co., Ltd","Dezhou City, Shandong Province","Qihe Runchi Automobile Trading Co., Ltd","Intersection of National Highway 308 and Provincial Highway 101 in Qihe Economic Development Zone, Shandong Province",SAIC Volkswagen Automotive,Dezhou
3413,"SAIC Volkswagen Automotive Co., Ltd","Binzhou City, Shandong Province","Binzhou Shangzhong Automobile Sales and Service Co., Ltd","West Head Logistics Center of Huanghe 5th Road, Binzhou City, Shandong Province",SAIC Volkswagen Automotive,Binzhou
3414,"SAIC Volkswagen Automotive Co., Ltd","Binzhou City, Shandong Province","Binzhou Hehui Automobile Sales and Service Co., Ltd","North of Dongguan Roundabout, Huimin County, Binzhou City, Shandong Province, west of Lubei Avenue, northeast of Lehu Road",SAIC Volkswagen Automotive,Binzhou
3415,"SAIC Volkswagen Automotive Co., Ltd","Binzhou City, Shandong Province","Binzhou Hejia Automobile Sales and Service Co., Ltd","Binzhou City, Shandong Province, Bincheng District, Bohai 30th Road West",SAIC Volkswagen Automotive,Binzhou
3416,"SAIC Volkswagen Automotive Co., Ltd","Binzhou City, Shandong Province","Binzhou Heshuo Automobile Sales and Service Co., Ltd","Bincheng District, Binzhou City, Shandong Province, 220 National Highway, Bohai <>th Road Auto City",SAIC Volkswagen Automotive,Binzhou
3417,"SAIC Volkswagen Automotive Co., Ltd","Binzhou City, Shandong Province","Shandong Boxing Yunda Automobile Sales and Service Co., Ltd","No. 3998, Binbo Street, Boxing County, Binzhou City, Shandong Province",SAIC Volkswagen Automotive,Binzhou
3418,"SAIC Volkswagen Automotive Co., Ltd","Binzhou City, Shandong Province","Shandong Zouping Jintong Automobile Sales and Service Co., Ltd","Binzhou City, Shandong Province, Zouping County, Daixi Third Road New Bus Station to the north",SAIC Volkswagen Automotive,Binzhou
3419,"SAIC Volkswagen Automotive Co., Ltd","Heze City, Shandong Province","Heze Zhongtong Automobile Sales and Service Co., Ltd","No. 1221, Huanghe East Road, Mudan District, Heze City, Shandong Province",SAIC Volkswagen Automotive,Heze
3420,"SAIC Volkswagen Automotive Co., Ltd","Heze City, Shandong Province","Hezelu Southwest Auto City Co., Ltd","No. 2999, Kunming Road, Mudan District, Heze City, Shandong Province",SAIC Volkswagen Automotive,Heze
3421,"SAIC Volkswagen Automotive Co., Ltd","Heze City, Shandong Province","Shan County Zhongyou Automobile Sales and Service Co., Ltd","No. 136, Health Road, Shanxian County, Heze City, Shandong Province",SAIC Volkswagen Automotive,Heze
